,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Victoria,HK,77.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
9,Butaritari,KI,82.35,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
11,Kapaa,US,75.2,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
12,Mar Del Plata,AR,71.01,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
13,Carnarvon,AU,66.2,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
15,San Juan,AR,78.53,broken clouds,-31.5375,-68.5364,Hotel Provincial
16,Batticaloa,LK,80.37,overcast clouds,7.7102,81.6924,Grand Star Guest House
20,Imphal,IN,67.5,broken clouds,24.8167,93.95,State Guest House
22,Ocampo,MX,89.01,scattered clouds,21.65,-101.5,Hotel Estancia del Vaquero
23,Buraydah,SA,86.0,clear sky,26.326,43.975,فندق راحة السلام
24,Camana,PE,70.48,few clouds,-16.6228,-72.7111,Hostal Morales
29,Dingle,PH,75.81,light rain,10.9995,122.6711,SEGAYA PROPERTY
32,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
33,Chuy,UY,70.03,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
34,Rikitea,PF,78.85,light rain,-23.1203,-134.9692,Pension Maro'i
35,Vaini,TO,73.4,light rain,-21.2,-175.2,Keleti Beach Resort
36,Samarai,PG,79.59,overcast clouds,-10.6167,150.6667,Nuli Sapi
41,Cayenne,GF,82.4,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
44,Castro,BR,66.94,clear sky,-24.7911,-50.0119,CHACARA BAILLY
45,Sao Francisco,BR,81.03,overcast clouds,-15.9486,-44.8644,Hotel Supremo
46,Kiblawan,PH,74.68,overcast clouds,6.6142,125.2367,manilyn
47,Tuni,IN,80.1,few clouds,17.35,82.55,Sai Krishna Lodge
48,Vilhena,BR,82.4,scattered clouds,-12.7406,-60.1458,Hotel Mirage
49,Avarua,CK,77.0,light rain,-21.2078,-159.775,Paradise Inn
50,Loralai,PK,72.37,clear sky,30.3705,68.598,Sana Poultry Loralai
