,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ancud,CL,-41.8697,-73.8203,55.99,94,90,16.11,moderate rain
1,Hobart,AU,-42.8794,147.3294,48.99,87,14,9.22,few clouds
2,Victoria,HK,22.2855,114.1577,77.0,86,100,1.74,overcast clouds
3,Mujiayingzi,CN,42.1167,118.7833,40.91,39,100,1.57,overcast clouds
4,Maniitsoq,GL,65.4167,-52.9,35.28,75,10,4.0,clear sky
5,Ushuaia,AR,-54.8,-68.3,41.0,81,75,0.98,light intensity drizzle
6,Albany,US,42.6001,-73.9662,53.01,71,100,5.01,overcast clouds
7,Haverfordwest,GB,51.8017,-4.9691,48.99,81,0,1.99,clear sky
8,Avera,US,33.194,-82.5271,80.6,41,1,12.66,clear sky
9,Butaritari,KI,3.0707,172.7902,82.35,73,100,10.42,overcast clouds
10,Asau,RO,46.4333,26.4,59.0,45,100,5.39,overcast clouds
11,Kapaa,US,22.0752,-159.319,75.2,73,75,13.8,broken clouds
12,Mar Del Plata,AR,-38.0023,-57.5575,71.01,60,0,12.66,clear sky
13,Carnarvon,AU,-24.8667,113.6333,66.2,59,83,11.5,broken clouds
14,Busselton,AU,-33.65,115.3333,51.01,98,84,1.01,broken clouds
15,San Juan,AR,-31.5375,-68.5364,78.53,28,83,3.53,broken clouds
16,Batticaloa,LK,7.7102,81.6924,80.37,82,99,7.31,overcast clouds
17,Hermanus,ZA,-34.4187,19.2345,57.99,70,0,8.01,clear sky
18,Lavrentiya,RU,65.5833,-171.0,19.76,82,33,3.98,scattered clouds
19,Ruthin,GB,53.1137,-3.3178,48.2,57,40,5.75,scattered clouds
20,Imphal,IN,24.8167,93.95,67.5,78,75,2.42,broken clouds
21,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,79,20,9.22,few clouds
22,Ocampo,MX,21.65,-101.5,89.01,50,29,17.34,scattered clouds
23,Buraydah,SA,26.326,43.975,86.0,20,0,4.61,clear sky
24,Camana,PE,-16.6228,-72.7111,70.48,71,16,9.89,few clouds
25,Sussex,US,41.1834,-74.6663,64.4,34,75,17.27,broken clouds
26,Port Alfred,ZA,-33.5906,26.891,63.1,76,65,15.21,light rain
27,Muros,ES,42.7762,-9.0603,55.99,61,5,13.53,clear sky
28,Mataura,NZ,-46.1927,168.8643,41.0,92,76,1.99,broken clouds
29,Dingle,PH,10.9995,122.6711,75.81,70,100,5.06,light rain
30,Jamestown,US,42.097,-79.2353,46.0,65,90,24.16,overcast clouds
31,Bredasdorp,ZA,-34.5322,20.0403,51.8,76,0,3.44,clear sky
32,Souillac,MU,-20.5167,57.5167,78.8,78,40,14.97,scattered clouds
33,Chuy,UY,-33.6971,-53.4616,70.03,47,10,6.13,clear sky
34,Rikitea,PF,-23.1203,-134.9692,78.85,77,21,20.76,light rain
35,Vaini,TO,-21.2,-175.2,73.4,100,90,8.05,light rain
36,Samarai,PG,-10.6167,150.6667,79.59,78,100,8.03,overcast clouds
37,Upernavik,GL,72.7868,-56.1549,34.0,79,99,5.28,overcast clouds
38,Barrow,US,71.2906,-156.7887,19.4,93,90,3.65,overcast clouds
39,Aykhal,RU,66.0,111.5,26.74,98,100,4.74,light snow
40,Mount Isa,AU,-20.7333,139.5,64.4,52,0,5.75,clear sky
41,Cayenne,GF,4.9333,-52.3333,82.4,78,75,8.05,broken clouds
42,Nikolskoye,RU,59.7035,30.7861,42.8,36,0,2.24,clear sky
43,Nanortalik,GL,60.1432,-45.2371,42.01,64,10,5.73,clear sky
44,Castro,BR,-24.7911,-50.0119,66.94,52,3,7.94,clear sky
45,Sao Francisco,BR,-15.9486,-44.8644,81.03,50,100,6.42,overcast clouds
46,Kiblawan,PH,6.6142,125.2367,74.68,93,91,1.68,overcast clouds
47,Tuni,IN,17.35,82.55,80.1,79,11,4.21,few clouds
48,Vilhena,BR,-12.7406,-60.1458,82.4,57,40,10.36,scattered clouds
49,Avarua,CK,-21.2078,-159.775,77.0,88,75,4.61,light rain
50,Loralai,PK,30.3705,68.598,72.37,32,4,4.09,clear sky
51,Sao Filipe,CV,14.8961,-24.4956,71.78,79,74,10.33,broken clouds
52,Katima Mulilo,NA,-17.5,24.2667,68.86,70,23,4.05,few clouds
53,Lompoc,US,34.6391,-120.4579,71.01,82,40,11.5,mist
54,Esperance,AU,-33.8667,121.9,48.2,93,75,5.75,broken clouds
55,Lebu,CL,-37.6167,-73.65,57.92,83,100,20.24,light rain
56,Antofagasta,CL,-23.65,-70.4,71.01,68,0,12.66,clear sky
57,Khatanga,RU,71.9667,102.5,29.95,94,100,8.59,overcast clouds
58,Broome,US,42.2506,-75.833,53.01,57,90,24.16,overcast clouds
59,Kodiak,US,57.79,-152.4072,46.4,42,1,17.27,clear sky
60,Bahia Honda,CU,22.9036,-83.1592,84.33,57,71,4.85,light rain
61,Ixtapa,MX,20.7,-105.2,82.4,69,20,9.22,few clouds
62,Punta Arenas,CL,-53.15,-70.9167,42.8,93,90,8.05,light rain
63,Ribeira Grande,PT,38.5167,-28.7,62.6,67,75,6.91,broken clouds
64,Port Elizabeth,ZA,-33.918,25.5701,59.0,77,0,16.11,clear sky
65,Bluff,NZ,-46.6,168.3333,41.0,92,86,1.99,overcast clouds
66,Isangel,VU,-19.55,169.2667,76.41,79,100,14.94,overcast clouds
67,Lander,US,42.833,-108.7307,73.4,24,1,4.61,clear sky
68,Severnyy,RU,50.677,36.5532,60.8,51,0,6.71,clear sky
69,Jaumave,MX,23.4167,-99.3833,86.0,39,75,20.71,broken clouds
70,Karratha,AU,-20.7377,116.8463,80.56,46,14,7.56,few clouds
71,Hilo,US,19.7297,-155.09,80.6,61,20,5.75,few clouds
72,New Norfolk,AU,-42.7826,147.0587,48.99,87,11,3.02,few clouds
73,Longyearbyen,SJ,78.2186,15.6401,17.6,67,75,16.11,snow
74,Kananga,CD,-5.8958,22.4178,69.44,95,100,2.95,overcast clouds
75,Bengkulu,ID,-3.8004,102.2655,75.87,89,99,2.82,overcast clouds
76,Buncrana,IE,55.1333,-7.45,48.2,61,0,14.97,clear sky
77,Nabire,ID,-3.3667,135.4833,75.0,90,34,3.47,scattered clouds
78,Touros,BR,-5.1989,-35.4608,80.6,78,75,5.75,broken clouds
79,San Patricio,US,28.017,-97.5169,78.8,78,90,3.44,overcast clouds
80,Ginir,ET,7.1333,40.7,58.28,95,100,2.28,moderate rain
81,Pemangkat,ID,1.1667,108.9667,76.08,88,95,4.56,overcast clouds
82,Great Yarmouth,GB,52.6083,1.7305,44.6,81,59,2.91,broken clouds
83,Aljezur,PT,37.3191,-8.8033,58.14,62,0,16.89,clear sky
84,Tuatapere,NZ,-46.1333,167.6833,41.0,92,100,1.99,overcast clouds
85,Porto Santo,PT,33.072,-16.3415,64.4,59,40,13.8,scattered clouds
86,Katav-Ivanovsk,RU,54.7531,58.1956,36.34,72,22,4.97,few clouds
87,Kasempa,ZM,-13.4584,25.8338,64.47,95,91,6.13,light rain
88,Ponta Do Sol,PT,32.6667,-17.1,61.0,53,55,7.0,broken clouds
89,Vao,NC,-22.6667,167.4833,74.88,60,98,19.37,overcast clouds
90,Airai,TL,-8.9266,125.4092,57.43,86,100,2.73,overcast clouds
91,Muriwai Beach,NZ,-36.8167,174.45,57.99,90,100,11.3,overcast clouds
92,Oranjemund,NA,-28.55,16.4333,57.85,79,0,18.7,clear sky
93,Isla Mujeres,MX,21.2311,-86.731,87.8,62,75,18.41,broken clouds
94,Atuona,PF,-9.8,-139.0333,78.87,70,1,4.5,clear sky
95,Clyde River,CA,70.4692,-68.5914,24.8,100,75,3.44,broken clouds
96,Guerrero Negro,MX,27.9769,-114.0611,85.17,26,0,12.06,clear sky
97,Saint-Philippe,RE,-21.3585,55.7679,75.2,83,0,5.75,light rain
98,Eskisehir,TR,39.7767,30.5206,66.2,55,0,4.61,clear sky
99,Cockburn Town,TC,21.4612,-71.1419,82.4,61,40,11.5,scattered clouds
100,Porto De Moz,BR,-1.7483,-52.2383,78.91,91,100,3.38,overcast clouds
101,Whitehorse,CA,60.7161,-135.0538,46.4,42,75,6.22,broken clouds
102,Salalah,OM,17.0151,54.0924,82.4,78,40,4.61,scattered clouds
103,Banyo,CM,6.75,11.8167,74.28,68,100,4.59,overcast clouds
104,Hofn,IS,64.2539,-15.2082,33.8,93,90,4.61,light snow
105,Kruisfontein,ZA,-34.0033,24.7314,55.0,77,0,1.99,clear sky
106,Fairbanks,US,64.8378,-147.7164,35.6,69,90,5.75,snow
107,Cherskiy,RU,68.75,161.3,3.11,99,100,1.68,overcast clouds
108,Tasiilaq,GL,65.6145,-37.6368,32.0,86,20,9.22,few clouds
109,Lagoa,PT,39.05,-27.9833,58.21,63,100,4.94,overcast clouds
110,Meulaboh,ID,4.1363,96.1285,77.47,88,40,3.83,scattered clouds
111,College,US,64.8569,-147.8028,34.0,69,90,5.75,snow
112,Itatskiy,RU,56.07,89.0369,37.45,84,25,7.05,scattered clouds
113,Vetovo,BG,43.7,26.2667,66.0,63,97,6.31,overcast clouds
114,Shache,CN,38.4167,77.2406,71.4,12,0,8.48,clear sky
115,Springfield,US,37.2153,-93.2982,78.01,31,1,6.91,clear sky
116,Blythe,US,33.6103,-114.5964,97.0,9,1,3.44,clear sky
117,Yei,SS,4.095,30.6779,70.84,86,100,3.67,light rain
118,Sorong,ID,-0.8833,131.25,78.44,84,83,3.71,broken clouds
119,Benghazi,LY,32.1167,20.0667,82.2,28,8,3.58,clear sky
120,Ponta Delgada,PT,37.7333,-25.6667,60.8,63,40,11.5,scattered clouds
121,Hami,CN,42.8,93.45,72.27,13,0,1.32,clear sky
122,Kapoeta,SS,4.7717,33.5903,75.45,74,82,1.68,light rain
123,Ossora,RU,59.2353,163.0719,29.12,92,67,3.94,broken clouds
124,Marzuq,YE,14.4,46.4667,77.47,55,100,4.07,overcast clouds
125,San Quintin,MX,30.4833,-115.95,76.28,43,0,13.53,clear sky
126,Praia Da Vitoria,PT,38.7333,-27.0667,62.01,59,40,1.97,scattered clouds
127,Lasa,IT,46.6166,10.7002,66.2,76,40,5.75,scattered clouds
128,Sawakin,SD,19.1059,37.3321,85.5,62,98,8.3,overcast clouds
129,Whitianga,NZ,-36.8333,175.7,57.61,84,84,6.24,broken clouds
130,Nelson Bay,AU,-32.7167,152.15,61.0,100,75,6.6,mist
131,Brza Palanka,RS,44.4709,22.444,59.0,70,49,1.99,light rain
132,Alofi,NU,-19.0595,-169.9187,73.4,94,100,4.68,overcast clouds
133,Fort Dodge,US,42.4975,-94.168,69.8,19,1,3.44,clear sky
134,Cidreira,BR,-30.1811,-50.2056,70.5,66,0,14.47,clear sky
135,Srinivaspur,IN,13.3333,78.2167,75.2,69,20,10.85,few clouds
136,Pangnirtung,CA,66.1451,-65.7125,33.8,86,75,2.3,broken clouds
137,Padang,ID,-0.9492,100.3543,78.04,86,97,3.56,overcast clouds
138,Mahebourg,MU,-20.4081,57.7,78.8,78,40,14.97,light rain
139,Marystown,CA,47.1666,-55.1483,42.66,74,100,13.0,overcast clouds
140,Lendinara,IT,45.0843,11.5997,64.0,78,77,3.38,broken clouds
141,Juneau,US,58.3019,-134.4197,44.6,81,90,16.11,light rain
142,Annamalainagar,IN,11.4,79.7333,83.46,77,95,6.08,overcast clouds
143,Vestmannaeyjar,IS,63.4427,-20.2734,44.6,57,75,13.8,haze
144,Mashhad,IR,36.297,59.6062,64.4,72,75,4.61,broken clouds
145,Hamilton,US,39.1834,-84.5333,70.0,30,40,33.38,scattered clouds
146,Shingu,JP,33.7333,135.9833,51.82,63,2,5.37,clear sky
147,Korla,CN,41.7597,86.1469,72.37,18,0,2.37,clear sky
148,Nanchong,CN,30.7951,106.0847,73.06,63,0,1.88,light rain
149,Gujar Khan,PK,33.2558,73.3026,76.12,44,100,8.21,overcast clouds
150,Pisco,PE,-13.7,-76.2167,71.6,68,0,6.91,clear sky
151,Xiongyue,CN,40.1774,122.1228,46.36,71,100,4.68,overcast clouds
152,Quime,BO,-16.9833,-67.2167,56.44,63,88,6.24,overcast clouds
153,Georgetown,MY,5.4112,100.3354,77.0,94,40,1.14,light rain
154,Bambous Virieux,MU,-20.3428,57.7575,78.8,78,40,14.97,light rain
155,Herouville-Saint-Clair,FR,49.2109,-0.3065,48.2,66,0,5.75,clear sky
156,Hervey Bay,AU,-25.2986,152.8535,64.99,94,100,4.0,light rain
157,Luena,AO,-11.7833,19.9167,64.04,90,99,3.22,overcast clouds
158,Lorengau,PG,-2.0226,147.2712,79.86,79,99,3.24,overcast clouds
159,Margate,GB,51.3813,1.3862,46.99,60,27,1.01,scattered clouds
160,Bethel,US,41.3712,-73.414,63.0,42,75,12.66,broken clouds
161,Tiksi,RU,71.6872,128.8694,30.13,80,100,2.44,overcast clouds
162,Tura,IN,25.5198,90.2201,75.83,42,84,3.47,broken clouds
163,Qaqortoq,GL,60.7167,-46.0333,57.2,24,40,28.77,scattered clouds
164,Ambilobe,MG,-13.2,49.05,74.37,94,5,2.62,clear sky
165,Pevek,RU,69.7008,170.3133,14.59,92,100,11.12,overcast clouds
166,Torbay,CA,47.6666,-52.7314,48.0,66,75,16.11,broken clouds
167,East London,ZA,-33.0153,27.9116,57.2,82,0,6.91,clear sky
168,Grindavik,IS,63.8424,-22.4338,39.2,65,40,21.85,scattered clouds
169,Yellowknife,CA,62.456,-114.3525,33.01,93,90,11.5,snow
170,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,69,20,5.75,few clouds
171,Richards Bay,ZA,-28.783,32.0377,65.46,86,100,13.13,light rain
172,Qaanaaq,GL,77.484,-69.3632,33.13,67,90,6.26,overcast clouds
173,Ust-Ilimsk,RU,58.0006,102.6619,36.01,90,100,9.82,overcast clouds
174,Russell,US,32.3502,-85.1999,80.6,36,1,11.5,clear sky
175,Tigil,RU,57.8,158.6667,33.84,88,100,2.98,overcast clouds
176,Pitimbu,BR,-7.4706,-34.8086,82.4,74,20,14.97,few clouds
